d,null_tall,tall_pos,not_tall,very_tall,not_very_tall_lit,not_very_tall_exh
68.2,-1.967930041265961,-5.1625436713233865,-1.7760309141473467,-5.613744189010764,-1.8162805675416152,-4.772789571390897
68.26666666666667,-1.958822058275905,-5.040258348321505,-1.777287987199596,-5.484432101225912,-1.8126304660001513,-4.656533094123631
68.33333333333333,-1.9503422120437837,-4.92062425199171,-1.7795271522278024,-5.357727886963161,-1.8097584418991208,-4.543183701129424
68.4,-1.9424905025695958,-4.803634661469982,-1.7825403873771817,-5.233621852227073,-1.8076647507627557,-4.432499298011681
68.46666666666667,-1.9352669298533445,-4.689282774385692,-1.7869987571738686,-5.112106857836957,-1.8063684264832345,-4.324566623186494
68.53333333333333,-1.928671493895028,-4.5775534324475435,-1.7922589119775416,-4.993173130264156,-1.805863922875564,-4.219361788496256
68.6,-1.9227041946946462,-4.4684437029877495,-1.798553846687219,-4.876809254496168,-1.8061574773922606,-4.11691711740944
68.66666666666667,-1.9173650322521985,-4.361948197109745,-1.8059034922806836,-4.762971259435396,-1.8072500568462013,-4.017170203325477
68.73333333333333,-1.9126540065676867,-4.258038247126334,-1.814306070665541,-4.651724506623037,-1.8091523192307846,-3.9201320179923425
68.8,-1.9085711176411098,-4.156713630291136,-1.8237976719168965,-4.543036863808708,-1.8118652669989412,-3.8258177817166277
68.86666666666667,-1.905116365472467,-4.057963221188675,-1.834374984709108,-4.436847942891782,-1.8147502776710847,-3.7342420541446013
68.93333333333334,-1.90228975006176,-3.9617754996149386,-1.846067143933589,-4.333219637695216,-1.819743043537211,-3.645242688254243
69,-1.900091271408988,-3.8681410519344857,-1.8588862892861133,-4.232083463812825,-1.82491665153696,-3.558996468556106
69.06666666666666,-1.8985209295141505,-3.7770237027209927,-1.8728496577818774,-4.133440212719092,-1.8309148823540873,-3.475400790745085
69.13333333333333,-1.8975787243772482,-3.6884526557105795,-1.887975760955227,-4.037274416821188,-1.8377521143484719,-3.394487759144758
69.2,-1.8972646559982804,-3.6023881622684875,-1.9042761069168117,-3.94359354684348,-1.845426559620326,-3.3162354145255635
69.26666666666667,-1.897578724377248,-3.5188295108720693,-1.9217749723148003,-3.8523695075456743,-1.8539410489085932,-3.240608323915584
69.33333333333333,-1.8985209295141503,-3.4377474592413275,-1.9404893796242786,-3.7635209514376164,-1.8632983184838212,-3.16761718431115
69.4,-1.900091271408988,-3.35914534378496,-1.9604384683786935,-3.6772747793843545,-1.8735165896988235,-3.097241636188786
69.46666666666667,-1.90228975006176,-3.2829969568774837,-1.9816567063891615,-3.5933219770583147,-1.884585503433501,-3.029470855364248
69.53333333333333,-1.905116365472467,-3.2092858951946264,-2.0041160482977043,-3.5118111046413656,-1.8965182199040163,-2.9642937890613337
69.6,-1.908571117641109,-3.137997239553753,-2.027884381953186,-3.4326861945570863,-1.9093131719922631,-2.901708046220841
69.66666666666667,-1.9126540065676867,-3.069117738937894,-2.052950964840457,-3.355945542863422,-1.9229763308111125,-2.841698011221221
69.73333333333333,-1.9173650322521985,-3.0026229697289537,-2.0793839368532607,-3.2815603261939086,-1.9375100962917673,-2.7842455343882047
69.8,-1.922704194694645,-2.9385164330744042,-2.1071537496773622,-3.2095418222598813,-1.952925844579551,-2.7292898952552975
69.86666666666667,-1.928671493895028,-2.876752978634022,-2.1363024016739667,-3.1398177155850626,-1.9692216985380646,-2.676989874205503
69.93333333333334,-1.9352669298533445,-2.81732772226802,-2.166856471692679,-3.0724187407285415,-1.9864308820659526,-2.6270646677928458
70,-1.9424905025695958,-2.7605198807955302,-2.198820638446358,-3.0073148849918407,-2.004499765250842,-2.5797298698645843
70.06666666666666,-1.9503422120437819,-2.7054049623915537,-2.232231661806382,-2.944484962463402,-2.023459891057649,-2.534848069325807
70.13333333333333,-1.958822058275903,-2.6528723349464194,-2.2671260114288487,-2.8839182303651634,-2.0432847773424814,-2.492435180370417
70.2,-1.967930041265961,-2.6025971448401135,-2.303474943043119,-2.8255933163154885,-2.0640504081229816,-2.4524757543388294
70.26666666666667,-1.977666161013952,-2.5545689176104767,-2.341355716499947,-2.7694823371648822,-2.085721607031768,-2.4149445947131416
70.33333333333333,-1.9880304175198777,-2.508750304837147,-2.3807691475748163,-2.715587844484343,-2.1082748403949236,-2.3798315642133807
70.4,-1.9990228107837409,-2.465115116227417,-2.4217443770130127,-2.6638749189453077,-2.131756995222172,-2.3471285309713723
70.46666666666667,-2.0106433408055366,-2.423659602922312,-2.4643036623188883,-2.614343478433032,-2.1561548656128116,-2.3167886522681638
70.53333333333333,-2.022892007585267,-2.384356278610425,-2.5084708702916747,-2.5669340561186926,-2.181474031675033,-2.288818370139597
70.6,-2.0357688111229324,-2.3471796586389644,-2.5542703901490302,-2.521657651339767,-2.207706339910842,-2.2631866412457082
70.66666666666667,-2.0492737514185357,-2.3121068016030915,-2.6017274624803286,-2.478484341794796,-2.2348608799563725,-2.2398776958264546
70.73333333333333,-2.063406828472071,-2.279115719040106,-2.650867680714432,-2.437397425665321,-2.2629380805181527,-2.2190377903604737
70.8,-2.0781680422835414,-2.2481828289848726,-2.7017086365004044,-2.398373460847447,-2.291942946777534,-2.2001399133082225
70.86666666666667,-2.09355739285295,-2.2192782120835766,-2.754285585896114,-2.3614164819819434,-2.3218784584617485,-2.1836704462554466
70.93333333333334,-2.10957488018029,-2.192382756248096,-2.809084562299733,-2.3264477352887925,-2.3527466977784575,-2.169435829291983
71,-2.1262205042655644,-2.1674697575993163,-2.8647297101979103,-2.2934483760204,-2.3845542942437103,-2.157408055174447
71.06666666666666,-2.1434942651087745,-2.1445154976919922,-2.9226482985706568,-2.262455517257196,-2.4172905364097748,-2.1476004835855846
71.13333333333333,-2.161396162709919,-2.1234988091969713,-2.982398078813887,-2.2334137233284626,-2.4509639529501714,-2.1399399214908956
71.2,-2.1799261970690025,-2.104381684598093,-3.04400944388261,-2.2062992339237577,-2.4855737317010074,-2.134439930018189
71.26666666666667,-2.199084368186017,-2.087190062592893,-3.107497969992638,-2.181089931598293,-2.521122826874609,-2.1310544797331303
71.33333333333333,-2.218870676060966,-2.0717495811873,-3.1728906837524837,-2.1577613400837103,-2.5576119607171366,-2.1297711716068233
71.4,-2.2392851206938547,-2.0581920674307543,-3.240213975755709,-2.1362926954416177,-2.595041684591272,-2.1305665395327327
71.46666666666667,-2.260327702084674,-2.0464346396541284,-3.3094921390802603,-2.116659918415436,-2.6334116568851678,-2.1334115742921917
71.53333333333333,-2.2819984202334282,-2.0364328402944123,-3.380750988033951,-2.098839083392699,-2.6727265000936544,-2.13828483890371
71.6,-2.304297275140117,-2.028202453106697,-3.454011870218535,-2.082804728339643,-2.712974583104998,-2.145161204533392
71.66666666666667,-2.3272242668047456,-2.0217011335283557,-3.5293018185529794,-2.0685353239607367,-2.7541669900156887,-2.1540120313982754
71.73333333333333,-2.350779395227305,-2.0168796846817645,-3.6066435144801567,-2.0560121767880575,-2.7962936767853943,-2.164824793809503
71.8,-2.3749626604077987,-2.0137259047837515,-3.6860624396117996,-2.0451930125118287,-2.839375320152559,-2.177564850684717
71.86666666666667,-2.3997740623462325,-2.012216685440623,-3.767578363764258,-2.0360817995242693,-2.88338379974481,-2.192192320835856
